"","foo.cont","foo.e","foo.value"
"1373","Serbia","Poisonings",-0.44
"4026","Guinea","Drowning",-0.44
"4248","Germany","Meningitis",-0.44
"5111","Comoros","Drowning",-0.44
"1155","Somalia","Protein.Energy.Malnutrition",-0.439999999999998
"3097","Madagascar","Malaria",-0.439999999999998
"2413","New Zealand","Interpersonal.Violence",-0.43
"3486","Kazakhstan","Environmental.Heat.and.Cold.Exposure",-0.43
"895","Switzerland","Drowning",-0.43
"3518","Jordan","Diarrheal.Diseases",-0.43
"2757","Moldova","Nutritional.Deficiencies",-0.43
"5149","China","Fire..Heat..and.Hot.Substances",-0.43
"2750","Moldova","Tuberculosis",-0.43
"1985","Papua New Guinea","Meningitis",-0.420000000000001
"2042","Palestine","Drowning",-0.42
"4466","Eswatini","Acute.Hepatitis",-0.42
"791","Tajikistan","Exposure.to.Forces.of.Nature",-0.42
"2876","Mauritania","HIV.AIDS",-0.42
"1677","Russia","Fire..Heat..and.Hot.Substances",-0.42
"2545","Myanmar","Fire..Heat..and.Hot.Substances",-0.42
"4001","Guinea","Acute.Hepatitis",-0.41
"342","United Kingdom","Meningitis",-0.41
"3287","Lebanon","Meningitis",-0.41
"3373","Kyrgyzstan","Maternal.Disorders",-0.41
"5160","China","Environmental.Heat.and.Cold.Exposure",-0.41
"5793","Belgium","Drowning",-0.41
"1263","Slovakia","Drug.Use.Disorders",-0.41
"3690","Ireland","Meningitis",-0.41
"5977","Azerbaijan","Maternal.Disorders",-0.41
"1832","Poland","Fire..Heat..and.Hot.Substances",-0.41
"3282","Lebanon","Drowning",-0.41
"2859","Mauritania","Road.Injuries",-0.400000000000002
"336","United Kingdom","Interpersonal.Violence",-0.4
"1792","Puerto Rico","Maternal.Disorders",-0.4
"4436","Ethiopia","Fire..Heat..and.Hot.Substances",-0.4
"5574","Botswana","Maternal.Disorders",-0.4
"4824","Democratic Republic of Congo","Neonatal.Disorders",-0.399999999999999
"4840","Czechia","Digestive.Diseases",-0.399999999999999
"423","Uganda","Lower.Respiratory.Infections",-0.390000000000001
"505","Turkey","Poisonings",-0.39
"804","Tajikistan","Nutritional.Deficiencies",-0.39
"3039","Malaysia","Meningitis",-0.39
"4889","Cyprus","Tuberculosis",-0.39
"4923","Cuba","Maternal.Disorders",-0.39
"5481","Bulgaria","Maternal.Disorders",-0.39
"5862","Bangladesh","Fire..Heat..and.Hot.Substances",-0.39
"1652","Rwanda","Poisonings",-0.39
"4435","Ethiopia","Acute.Hepatitis",-0.39
"2207","North Macedonia","Chronic.Respiratory.Diseases",-0.380000000000003
"2979","Maldives","Fire..Heat..and.Hot.Substances",-0.38
"301","United States","Tuberculosis",-0.38
"3035","Malaysia","Malaria",-0.38
"3605","Italy","Poisonings",-0.38
"4920","Cuba","Tuberculosis",-0.38
"6007","Austria","HIV.AIDS",-0.38
"397","Ukraine","Maternal.Disorders",-0.38
"5304","Canada","Fire..Heat..and.Hot.Substances",-0.38
"6041","Australia","Drowning",-0.38
"917","Sweden","Alcohol.Use.Disorders",-0.37
"1893","Peru","Acute.Hepatitis",-0.37
"4372","France","Meningitis",-0.37
"908","Sweden","Poisonings",-0.37
"119","Vietnam","Interpersonal.Violence",-0.37
"3964","Guyana","Drowning",-0.369999999999999
"3047","Malawi","Poisonings",-0.36
"3716","Iraq","Drowning",-0.36
"567","Trinidad and Tobago","Poisonings",-0.36
"1378","Serbia","Environmental.Heat.and.Cold.Exposure",-0.36
"1807","Portugal","Poisonings",-0.36
"4062","Guatemala","Meningitis",-0.36
"4807","Democratic Republic of Congo","Acute.Hepatitis",-0.36
"5006","Costa Rica","Diarrheal.Diseases",-0.36
"5831","Barbados","Fire..Heat..and.Hot.Substances",-0.35
"2037","Palestine","Tuberculosis",-0.35
"126","Venezuela","Acute.Hepatitis",-0.35
"2409","New Zealand","Tuberculosis",-0.35
"5561","Botswana","Conflict.and.Terrorism",-0.35
"5830","Barbados","Acute.Hepatitis",-0.35
"6088","Argentina","Conflict.and.Terrorism",-0.35
"1272","Slovakia","Meningitis",-0.35
"4962","Cote d'Ivoire","Acute.Hepatitis",-0.35
"102","Vietnam","Poisonings",-0.34
"226","Uruguay","Poisonings",-0.34
"1218","Slovenia","Poisonings",-0.34
"1241","Slovenia","Meningitis",-0.34
"2477","Nepal","Malaria",-0.34
"1212","Slovenia","Fire..Heat..and.Hot.Substances",-0.34
"2799","Mexico","Poisonings",-0.34
"5551","Botswana","Acute.Hepatitis",-0.34
"3041","Malawi","Fire..Heat..and.Hot.Substances",-0.34
"334","United Kingdom","HIV.AIDS",-0.33
"1965","Papua New Guinea","Conflict.and.Terrorism",-0.33
"902","Sweden","Fire..Heat..and.Hot.Substances",-0.33
"932","Suriname","Acute.Hepatitis",-0.33
"4311","Gabon","Acute.Hepatitis",-0.33
"491","Turkmenistan","Interpersonal.Violence",-0.32
"474","Turkmenistan","Poisonings",-0.32
"536","Tunisia","Poisonings",-0.32
"1729","Romania","HIV.AIDS",-0.32
"2235","North Korea","Fire..Heat..and.Hot.Substances",-0.32
"2644","Montenegro","Poisonings",-0.32
"4410","Fiji","Protein.Energy.Malnutrition",-0.32
"4668","Ecuador","Alcohol.Use.Disorders",-0.32
"4899","Cyprus","Meningitis",-0.32
"5706","Benin","Acute.Hepatitis",-0.32
"535","Tunisia","Protein.Energy.Malnutrition",-0.32
"2140","Oman","Meningitis",-0.32
"2163","Norway","HIV.AIDS",-0.32
"2667","Montenegro","Meningitis",-0.32
"2736","Moldova","Protein.Energy.Malnutrition",-0.32
"3691","Iraq","Acute.Hepatitis",-0.32
"4894","Cyprus","Drowning",-0.32
"5334","Cameroon","Acute.Hepatitis",-0.32
"1093","South Korea","Protein.Energy.Malnutrition",-0.31
"1769","Puerto Rico","Acute.Hepatitis",-0.31
"2543","Namibia","Meningitis",-0.31
"2829","Mauritius","Protein.Energy.Malnutrition",-0.31
"3132","Luxembourg","Meningitis",-0.31
"5328","Canada","Drowning",-0.31
"5421","Burundi","Drowning",-0.31
"5826","Belarus","Nutritional.Deficiencies",-0.31
"931","Sweden","Meningitis",-0.31
"3122","Luxembourg","Tuberculosis",-0.31
"846","Syria","Poisonings",-0.31
"2657","Montenegro","Tuberculosis",-0.31
"3560","Japan","Interpersonal.Violence",-0.31
"5961","Azerbaijan","Poisonings",-0.31
"995","Sri Lanka","Fire..Heat..and.Hot.Substances",-0.3
"2751","Moldova","Drug.Use.Disorders",-0.3
"4261","Georgia","Environmental.Heat.and.Cold.Exposure",-0.3
"543","Tunisia","Exposure.to.Forces.of.Nature",-0.3
"1101","South Korea","Exposure.to.Forces.of.Nature",-0.3
"3139","Lithuania","Protein.Energy.Malnutrition",-0.3
"3592","Jamaica","Drowning",-0.3
"4910","Cuba","Conflict.and.Terrorism",-0.3
"5124","Colombia","Poisonings",-0.3
"5964","Azerbaijan","Conflict.and.Terrorism",-0.3
"1298","Singapore","Drowning",-0.3
"1885","Philippines","Maternal.Disorders",-0.3
"1917","Peru","Interpersonal.Violence",-0.3
"556","Tunisia","Nutritional.Deficiencies",-0.29
"1367","Serbia","Fire..Heat..and.Hot.Substances",-0.29
"2432","Netherlands","Environmental.Heat.and.Cold.Exposure",-0.29
"3164","Libya","Acute.Hepatitis",-0.29
"3187","Libya","Maternal.Disorders",-0.29
"4566","Equatorial Guinea","Poisonings",-0.29
"6240","Algeria","Poisonings",-0.29
"1303","Singapore","Meningitis",-0.29
"3377","Kyrgyzstan","Nutritional.Deficiencies",-0.29
"5020","Costa Rica","Nutritional.Deficiencies",-0.29
"5023","Costa Rica","Meningitis",-0.29
"561","Trinidad and Tobago","Fire..Heat..and.Hot.Substances",-0.28
"760","Tanzania","Exposure.to.Forces.of.Nature",-0.28
"1801","Portugal","Fire..Heat..and.Hot.Substances",-0.28
"2226","North Macedonia","Maternal.Disorders",-0.28
"2445","Netherlands","Drowning",-0.28
"1118","South Africa","Acute.Hepatitis",-0.28
"6094","Argentina","Alcohol.Use.Disorders",-0.28
"5864","Bangladesh","Cirrhosis.and.Other.Chronic.Liver.Diseases",-0.270000000000001
"3649","Israel","Tuberculosis",-0.27
"387","Ukraine","Diarrheal.Diseases",-0.27
"715","Thailand","Acute.Hepatitis",-0.27
"2384","Nicaragua","Malaria",-0.27
"2419","New Zealand","Meningitis",-0.27
"3839","Iceland","Interpersonal.Violence",-0.27
"4219","Germany","Fire..Heat..and.Hot.Substances",-0.27
"6307","Afghanistan","Environmental.Heat.and.Cold.Exposure",-0.27
"4801","Denmark","Drowning",-0.27
"2347","Niger","Tuberculosis",-0.260000000000002
"2444","Netherlands","Interpersonal.Violence",-0.26
"4187","Ghana","Acute.Hepatitis",-0.26
"525","Turkey","Nutritional.Deficiencies",-0.26
"897","Switzerland","Nutritional.Deficiencies",-0.26
"1243","Slovakia","Fire..Heat..and.Hot.Substances",-0.26
"1451","Saudi Arabia","Maternal.Disorders",-0.26
"2136","Oman","Malaria",-0.26
"2390","New Zealand","Fire..Heat..and.Hot.Substances",-0.26
"3301","Latvia","Diarrheal.Diseases",-0.26
"3837","Iceland","HIV.AIDS",-0.26
"5651","Bhutan","Poisonings",-0.26
"2450","Netherlands","Meningitis",-0.26
"3334","Laos","Self.harm",-0.26
"2793","Mexico","Fire..Heat..and.Hot.Substances",-0.25
"5372","Cambodia","Poisonings",-0.25
"43","Zambia","Conflict.and.Terrorism",-0.25
"1114","South Korea","Nutritional.Deficiencies",-0.25
"1329","Sierra Leone","Drowning",-0.25
"2040","Palestine","Maternal.Disorders",-0.25
"4907","Cuba","Poisonings",-0.25
"4999","Costa Rica","Protein.Energy.Malnutrition",-0.25
"5055","Congo","Acute.Hepatitis",-0.25
"5891","Bangladesh","Meningitis",-0.25
"5950","Bahamas","Nutritional.Deficiencies",-0.25
"4900","Cuba","Acute.Hepatitis",-0.25
"5613","Bolivia","Acute.Hepatitis",-0.25
"5928","Bahamas","Road.Injuries",-0.24
"2116","Oman","Protein.Energy.Malnutrition",-0.24
"3356","Kyrgyzstan","Protein.Energy.Malnutrition",-0.24
"4218","Germany","Acute.Hepatitis",-0.24
"499","Turkey","Fire..Heat..and.Hot.Substances",-0.24
"653","Togo","Acute.Hepatitis",-0.24
"925","Sweden","Interpersonal.Violence",-0.24
"1389","Serbia","Maternal.Disorders",-0.24
"1646","Rwanda","Fire..Heat..and.Hot.Substances",-0.24
"3791","India","Poisonings",-0.24
"5737","Belize","Acute.Hepatitis",-0.24
"5763","Belize","Malaria",-0.24
"5923","Bahamas","Acute.Hepatitis",-0.24
"5929","Bahamas","Protein.Energy.Malnutrition",-0.24
"5930","Bahamas","Poisonings",-0.24
"6015","Austria","Meningitis",-0.24
"678","Togo","Drowning",-0.23
"1049","Spain","Interpersonal.Violence",-0.23
"136","Venezuela","Conflict.and.Terrorism",-0.23
"2936","Malta","Tuberculosis",-0.23
"3133","Lithuania","Acute.Hepatitis",-0.23
"4497","Estonia","Acute.Hepatitis",-0.23
"5496","Brunei","Poisonings",-0.23
"306","United States","Drowning",-0.23
"4993","Costa Rica","Acute.Hepatitis",-0.23
"5471","Bulgaria","Diarrheal.Diseases",-0.23
"5512","Brunei","Maternal.Disorders",-0.23
"5822","Belarus","Maternal.Disorders",-0.23
"6040","Australia","Interpersonal.Violence",-0.23
"4431","Fiji","Nutritional.Deficiencies",-0.22
"2941","Malta","Drowning",-0.22
"337","United Kingdom","Drowning",-0.22
"2917","Malta","Fire..Heat..and.Hot.Substances",-0.22
"2946","Malta","Meningitis",-0.22
"5519","Brunei","Meningitis",-0.22
"1854","Poland","Maternal.Disorders",-0.22
"2939","Malta","Maternal.Disorders",-0.22
"4404","Fiji","Acute.Hepatitis",-0.22
"5495","Brunei","Protein.Energy.Malnutrition",-0.22
"319","United Kingdom","Poisonings",-0.22
"1139","South Africa","Drug.Use.Disorders",-0.22
"1458","Saudi Arabia","Meningitis",-0.22
"4777","Denmark","Fire..Heat..and.Hot.Substances",-0.22
"5986","Austria","Fire..Heat..and.Hot.Substances",-0.22
"6047","Armenia","Acute.Hepatitis",-0.22
"3902","Honduras","Drowning",-0.22
"4429","Fiji","Drowning",-0.22
"2611","Morocco","Road.Injuries",-0.219999999999999
"1397","Senegal","Acute.Hepatitis",-0.21
"691","Timor","Poisonings",-0.21
"1110","South Korea","Maternal.Disorders",-0.21
"1032","Spain","Poisonings",-0.21
"1026","Spain","Fire..Heat..and.Hot.Substances",-0.21
"2613","Morocco","Poisonings",-0.21
"3654","Israel","Drowning",-0.21
"1251","Slovakia","Diabetes.Mellitus",-0.209999999999999
"311","United States","Meningitis",-0.2
"1087","South Korea","Acute.Hepatitis",-0.2
"3672","Ireland","Environmental.Heat.and.Cold.Exposure",-0.2
"4652","Ecuador","Acute.Hepatitis",-0.2
"4690","Dominican Republic","Poisonings",-0.2
"6046","Australia","Meningitis",-0.2
"473","Turkmenistan","Protein.Energy.Malnutrition",-0.2
"3754","Indonesia","Fire..Heat..and.Hot.Substances",-0.2
"5327","Canada","Interpersonal.Violence",-0.2
"2258","North Korea","Interpersonal.Violence",-0.2
"1650","Rwanda","Road.Injuries",-0.190000000000001
"2359","Nicaragua","Fire..Heat..and.Hot.Substances",-0.19
"2560","Myanmar","Alcohol.Use.Disorders",-0.19
"194","Uzbekistan","Protein.Energy.Malnutrition",-0.19
"322","United Kingdom","Conflict.and.Terrorism",-0.19
"1454","Saudi Arabia","Malaria",-0.19
"5778","Belgium","Conflict.and.Terrorism",-0.19
"1238","Slovenia","Nutritional.Deficiencies",-0.19
"4168","Greece","Environmental.Heat.and.Cold.Exposure",-0.19
"3202","Liberia","Poisonings",-0.19
"3406","Kuwait","Drowning",-0.19
"4450","Ethiopia","Self.harm",-0.19
"5073","Congo","Lower.Respiratory.Infections",-0.189999999999998
"5792","Belgium","Interpersonal.Violence",-0.18
"490","Turkmenistan","Maternal.Disorders",-0.18
"4272","Georgia","Maternal.Disorders",-0.18
"380","Ukraine","Protein.Energy.Malnutrition",-0.18
"109","Vietnam","Exposure.to.Forces.of.Nature",-0.18
"242","Uruguay","Maternal.Disorders",-0.18
"2017","Palestine","Acute.Hepatitis",-0.18
"2365","Nicaragua","Poisonings",-0.18
"4058","Guatemala","Malaria",-0.18
"5186","Chile","Poisonings",-0.18
"4684","Dominican Republic","Fire..Heat..and.Hot.Substances",-0.18
"2600","Mozambique","Drowning",-0.18
"3401","Kuwait","Tuberculosis",-0.17
"3869","Hungary","Maternal.Disorders",-0.17
"1428","Saudi Arabia","Acute.Hepatitis",-0.17
"3566","Japan","Meningitis",-0.17
"4033","Guatemala","Fire..Heat..and.Hot.Substances",-0.17
"4563","Equatorial Guinea","Chronic.Respiratory.Diseases",-0.17
"3184","Libya","Tuberculosis",-0.16
"2804","Mexico","Environmental.Heat.and.Cold.Exposure",-0.16
"6101","Argentina","Maternal.Disorders",-0.16
"722","Thailand","Poisonings",-0.16
"1986","Panama","Acute.Hepatitis",-0.16
"2358","Nicaragua","Acute.Hepatitis",-0.16
"2660","Montenegro","Maternal.Disorders",-0.16
"3877","Honduras","Acute.Hepatitis",-0.16
"4395","Finland","HIV.AIDS",-0.16
"4892","Cyprus","Maternal.Disorders",-0.16
"3394","Kuwait","Diarrheal.Diseases",-0.16
"3659","Israel","Meningitis",-0.16
"3687","Ireland","Nutritional.Deficiencies",-0.16
"5805","Belarus","Protein.Energy.Malnutrition",-0.16
"4980","Cote d'Ivoire","Lower.Respiratory.Infections",-0.150000000000006
"324","United Kingdom","Environmental.Heat.and.Cold.Exposure",-0.15
"2823","Mauritius","Acute.Hepatitis",-0.15
"3543","Japan","Poisonings",-0.15
"5323","Canada","Tuberculosis",-0.15
"6078","Argentina","Acute.Hepatitis",-0.15
"1008","Sri Lanka","Exposure.to.Forces.of.Nature",-0.15
"2044","Palestine","Nutritional.Deficiencies",-0.15
"3109","Luxembourg","Poisonings",-0.15
"3125","Luxembourg","Maternal.Disorders",-0.15
"4178","Greece","HIV.AIDS",-0.15
"4861","Czechia","Maternal.Disorders",-0.15
"2023","Palestine","Protein.Energy.Malnutrition",-0.15
"3103","Luxembourg","Fire..Heat..and.Hot.Substances",-0.15
"3127","Luxembourg","Drowning",-0.15
"3525","Jordan","Tuberculosis",-0.15
"6017","Australia","Fire..Heat..and.Hot.Substances",-0.15
"142","Venezuela","Alcohol.Use.Disorders",-0.15
"3126","Luxembourg","Interpersonal.Violence",-0.15
"2826","Mauritius","Cirrhosis.and.Other.Chronic.Liver.Diseases",-0.149999999999999
"1103","South Korea","Alcohol.Use.Disorders",-0.14
"1119","South Africa","Fire..Heat..and.Hot.Substances",-0.14
"5241","Central African Republic","Acute.Hepatitis",-0.14
"1265","Slovakia","Maternal.Disorders",-0.14
"3629","Israel","Acute.Hepatitis",-0.14
"3777","Indonesia","Interpersonal.Violence",-0.14
"4163","Greece","Poisonings",-0.14
"4838","Czechia","Acute.Hepatitis",-0.14
"5782","Belgium","Exposure.to.Forces.of.Nature",-0.14
"5768","Belgium","Acute.Hepatitis",-0.14
"2383","Nicaragua","Drowning",-0.13
"4367","France","Drowning",-0.13
"326","United Kingdom","Exposure.to.Forces.of.Nature",-0.13
"831","Taiwan","Maternal.Disorders",-0.13
"1852","Poland","Drug.Use.Disorders",-0.13
"2421","Netherlands","Fire..Heat..and.Hot.Substances",-0.13
"3918","Haiti","Conflict.and.Terrorism",-0.13
"4186","Greece","Meningitis",-0.13
"4276","Georgia","Nutritional.Deficiencies",-0.13
"871","Switzerland","Fire..Heat..and.Hot.Substances",-0.13
"781","Tajikistan","Chronic.Respiratory.Diseases",-0.129999999999999
"1063","South Sudan","Poisonings",-0.12
"1111","South Korea","Interpersonal.Violence",-0.12
"1382","Serbia","Alcohol.Use.Disorders",-0.12
"2144","Norway","Cirrhosis.and.Other.Chronic.Liver.Diseases",-0.12
"2693","Mongolia","Drowning",-0.12
"1686","Russia","Conflict.and.Terrorism",-0.12
"2513","Namibia","Acute.Hepatitis",-0.12
"2674","Mongolia","Protein.Energy.Malnutrition",-0.12
"3628","Italy","Meningitis",-0.12
"4380","Finland","Poisonings",-0.12
"4383","Finland","Conflict.and.Terrorism",-0.12
"4683","Dominican Republic","Acute.Hepatitis",-0.12
"5191","Chile","Environmental.Heat.and.Cold.Exposure",-0.12
"5310","Canada","Poisonings",-0.12
"5645","Bhutan","Fire..Heat..and.Hot.Substances",-0.12
"1669","Rwanda","Interpersonal.Violence",-0.11
"4560","Equatorial Guinea","Fire..Heat..and.Hot.Substances",-0.11
"219","Uruguay","Acute.Hepatitis",-0.11
"851","Syria","Environmental.Heat.and.Cold.Exposure",-0.11
"1931","Paraguay","Poisonings",-0.11
"3559","Japan","Maternal.Disorders",-0.11
"4411","Fiji","Poisonings",-0.11
"5922","Bahrain","Meningitis",-0.11
"1035","Spain","Conflict.and.Terrorism",-0.11
"1823","Portugal","Maternal.Disorders",-0.11
"2209","North Macedonia","Protein.Energy.Malnutrition",-0.11
"3903","Honduras","Malaria",-0.11
"5174","China","Malaria",-0.11
"1800","Portugal","Acute.Hepatitis",-0.11
"1955","Papua New Guinea","Acute.Hepatitis",-0.11
"3170","Libya","Protein.Energy.Malnutrition",-0.11
"3335","Laos","Alcohol.Use.Disorders",-0.11
"3505","Jordan","Acute.Hepatitis",-0.11
"4386","Finland","Diarrheal.Diseases",-0.11
"5798","Belgium","Meningitis",-0.11
"4677","Ecuador","Drowning",-0.11
"374","Ukraine","Acute.Hepatitis",-0.1
"1037","Spain","Environmental.Heat.and.Cold.Exposure",-0.1
"4365","France","Maternal.Disorders",-0.1
"5333","Canada","Meningitis",-0.1
"5582","Bosnia and Herzegovina","Acute.Hepatitis",-0.1
"6264","Albania","Acute.Hepatitis",-0.1
"4954","Croatia","Maternal.Disorders",-0.1
"211","Uzbekistan","Maternal.Disorders",-0.1
"3884","Honduras","Poisonings",-0.1
"4249","Georgia","Acute.Hepatitis",-0.1
"3858","Hungary","Environmental.Heat.and.Cold.Exposure",-0.0900000000000003
"1657","Rwanda","Environmental.Heat.and.Cold.Exposure",-0.09
"3191","Libya","Nutritional.Deficiencies",-0.09
"870","Switzerland","Acute.Hepatitis",-0.09
"1366","Serbia","Acute.Hepatitis",-0.09
"1233","Slovenia","HIV.AIDS",-0.09
"2012","Panama","Malaria",-0.09
"2155","Norway","Exposure.to.Forces.of.Nature",-0.09
"2806","Mexico","Exposure.to.Forces.of.Nature",-0.09
"4241","Germany","Maternal.Disorders",-0.09
"5179","Chile","Acute.Hepatitis",-0.09
"5527","Brazil","Poisonings",-0.09
"1728","Romania","Drug.Use.Disorders",-0.09
"1993","Panama","Poisonings",-0.09
"2018","Palestine","Fire..Heat..and.Hot.Substances",-0.09
"4659","Ecuador","Poisonings",-0.09
"565","Trinidad and Tobago","Road.Injuries",-0.0800000000000001
"676","Togo","Maternal.Disorders",-0.0800000000000001
"4893","Cyprus","Interpersonal.Violence",-0.0800000000000001
"6085","Argentina","Poisonings",-0.0800000000000001
"3667","Ireland","Poisonings",-0.08
"4881","Cyprus","Environmental.Heat.and.Cold.Exposure",-0.08
"512","Turkey","Exposure.to.Forces.of.Nature",-0.08
"2835","Mauritius","Environmental.Heat.and.Cold.Exposure",-0.08
"3457","Kenya","Exposure.to.Forces.of.Nature",-0.08
"4228","Germany","Conflict.and.Terrorism",-0.08
"4232","Germany","Exposure.to.Forces.of.Nature",-0.08
"12","Zimbabwe","Conflict.and.Terrorism",-0.08
"2443","Netherlands","Maternal.Disorders",-0.08
"5458","Bulgaria","Acute.Hepatitis",-0.08
"6257","Algeria","Interpersonal.Violence",-0.0700000000000001
"1676","Russia","Acute.Hepatitis",-0.07
"2122","Oman","Environmental.Heat.and.Cold.Exposure",-0.07
"5317","Canada","Exposure.to.Forces.of.Nature",-0.07
"5532","Brazil","Environmental.Heat.and.Cold.Exposure",-0.07
"6271","Albania","Poisonings",-0.07
"2427","Netherlands","Poisonings",-0.07
"3381","Kuwait","Acute.Hepatitis",-0.07
"5162","China","Exposure.to.Forces.of.Nature",-0.07
"339","United Kingdom","Nutritional.Deficiencies",-0.07
"1761","Qatar","Maternal.Disorders",-0.07
"4622","Egypt","Fire..Heat..and.Hot.Substances",-0.0699999999999998
"1787","Puerto Rico","Lower.Respiratory.Infections",-0.0600000000000023
"1099","South Korea","Environmental.Heat.and.Cold.Exposure",-0.0600000000000001
"1770","Puerto Rico","Fire..Heat..and.Hot.Substances",-0.0600000000000001
"729","Thailand","Exposure.to.Forces.of.Nature",-0.06
"1097","South Korea","Conflict.and.Terrorism",-0.06
"1690","Russia","Exposure.to.Forces.of.Nature",-0.06
"2230","North Macedonia","Nutritional.Deficiencies",-0.06
"2372","Nicaragua","Exposure.to.Forces.of.Nature",-0.06
"3331","Laos","Environmental.Heat.and.Cold.Exposure",-0.06
"3612","Italy","Exposure.to.Forces.of.Nature",-0.06
"3621","Italy","Maternal.Disorders",-0.06
"3682","Ireland","HIV.AIDS",-0.06
"3763","Indonesia","Conflict.and.Terrorism",-0.06
"4230","Germany","Environmental.Heat.and.Cold.Exposure",-0.06
"4571","Equatorial Guinea","Environmental.Heat.and.Cold.Exposure",-0.06
"4776","Denmark","Acute.Hepatitis",-0.06
"5604","Bosnia and Herzegovina","HIV.AIDS",-0.06
"5799","Belarus","Acute.Hepatitis",-0.06
"731","Thailand","Alcohol.Use.Disorders",-0.0599999999999999
"2861","Mauritania","Poisonings",-0.0599999999999999
"5427","Burkina Faso","Acute.Hepatitis",-0.0599999999999998
"3256","Lesotho","Meningitis",-0.0500000000000007
"2808","Mexico","Alcohol.Use.Disorders",-0.0500000000000003
"1254","Slovakia","Environmental.Heat.and.Cold.Exposure",-0.05
"2204","North Macedonia","Fire..Heat..and.Hot.Substances",-0.05
"4447","Ethiopia","Environmental.Heat.and.Cold.Exposure",-0.05
"5912","Bahrain","Tuberculosis",-0.05
"5992","Austria","Poisonings",-0.05
"1006","Sri Lanka","Environmental.Heat.and.Cold.Exposure",-0.05
"4225","Germany","Poisonings",-0.05
"335","United Kingdom","Maternal.Disorders",-0.05
"1048","Spain","Maternal.Disorders",-0.05
"1225","Slovenia","Exposure.to.Forces.of.Nature",-0.05
"1234","Slovenia","Maternal.Disorders",-0.05
"1280","Singapore","Poisonings",-0.05
"1721","Romania","Exposure.to.Forces.of.Nature",-0.05
"2164","Norway","Maternal.Disorders",-0.05
"3550","Japan","Exposure.to.Forces.of.Nature",-0.05
"3703","Iraq","Environmental.Heat.and.Cold.Exposure",-0.05
"3887","Honduras","Conflict.and.Terrorism",-0.05
"3891","Honduras","Exposure.to.Forces.of.Nature",-0.05
"4356","France","Exposure.to.Forces.of.Nature",-0.05
"5129","Colombia","Environmental.Heat.and.Cold.Exposure",-0.05
"5131","Colombia","Exposure.to.Forces.of.Nature",-0.05
"5520","Brazil","Acute.Hepatitis",-0.05
"5623","Bolivia","Conflict.and.Terrorism",-0.05
"6008","Austria","Maternal.Disorders",-0.05
"6092","Argentina","Exposure.to.Forces.of.Nature",-0.05
"1869","Philippines","Poisonings",-0.05
"4183","Greece","Nutritional.Deficiencies",-0.05
"4628","Egypt","Poisonings",-0.05
"5873","Bangladesh","Environmental.Heat.and.Cold.Exposure",-0.05
"5915","Bahrain","Maternal.Disorders",-0.05
"3977","Guinea-Bissau","Poisonings",-0.0499999999999998
"5769","Belgium","Fire..Heat..and.Hot.Substances",-0.0499999999999998
"6084","Argentina","Protein.Energy.Malnutrition",-0.0499999999999998
"553","Tunisia","Interpersonal.Violence",-0.04
"1015","Sri Lanka","Drug.Use.Disorders",-0.04
"2153","Norway","Environmental.Heat.and.Cold.Exposure",-0.04
"3568","Jamaica","Fire..Heat..and.Hot.Substances",-0.04
"295","United States","Exposure.to.Forces.of.Nature",-0.04
"1296","Singapore","Maternal.Disorders",-0.04
"1300","Singapore","Nutritional.Deficiencies",-0.04
"3846","Hungary","Acute.Hepatitis",-0.04
"822","Taiwan","Exposure.to.Forces.of.Nature",-0.04
"1996","Panama","Conflict.and.Terrorism",-0.04
"2434","Netherlands","Exposure.to.Forces.of.Nature",-0.04
"3674","Ireland","Exposure.to.Forces.of.Nature",-0.04
"4162","Greece","Protein.Energy.Malnutrition",-0.04
"4170","Greece","Exposure.to.Forces.of.Nature",-0.04
"4662","Ecuador","Conflict.and.Terrorism",-0.04
"5189","Chile","Conflict.and.Terrorism",-0.04
"5791","Belgium","Maternal.Disorders",-0.04
"107","Vietnam","Environmental.Heat.and.Cold.Exposure",-0.04
"783","Tajikistan","Protein.Energy.Malnutrition",-0.04
"6030","Australia","Exposure.to.Forces.of.Nature",-0.04
"2618","Morocco","Environmental.Heat.and.Cold.Exposure",-0.04
"4323","Gabon","Environmental.Heat.and.Cold.Exposure",-0.04
"5868","Bangladesh","Poisonings",-0.04
"6276","Albania","Environmental.Heat.and.Cold.Exposure",-0.04
"3552","Japan","Alcohol.Use.Disorders",-0.0399999999999999
"3182","Libya","Lower.Respiratory.Infections",-0.0399999999999991
"4264","Georgia","Self.harm",-0.0300000000000002
"133","Venezuela","Poisonings",-0.03
"293","United States","Environmental.Heat.and.Cold.Exposure",-0.03
"4927","Cuba","Nutritional.Deficiencies",-0.03
"5138","Colombia","Drug.Use.Disorders",-0.03
"4373","Finland","Acute.Hepatitis",-0.03
"4396","Finland","Maternal.Disorders",-0.03
"3408","Kuwait","Nutritional.Deficiencies",-0.03
"4799","Denmark","Maternal.Disorders",-0.03
"4931","Croatia","Acute.Hepatitis",-0.03
"5117","Colombia","Acute.Hepatitis",-0.03
"510","Turkey","Environmental.Heat.and.Cold.Exposure",-0.03
"924","Sweden","Maternal.Disorders",-0.03
"1113","South Korea","Malaria",-0.03
"1924","Paraguay","Acute.Hepatitis",-0.03
"3567","Jamaica","Acute.Hepatitis",-0.03
"3574","Jamaica","Poisonings",-0.03
